TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
923,8073,8073,8095,13688,18927,19983,21567,22079,13448,19343,20847,22127,22591,node0
924,7859,7859,7859,13696,19023,20559,22111,22127,13104,19119,20479,22639,22703,node0
925,7720,7720,7846,13240,18607,19567,22111,22143,13168,18479,20527,22239,22783,node0
926,8223,8223,8203,13248,18591,20607,21663,22143,13224,18959,20079,22287,22335,node0
927,8093,8093,7997,13256,19103,20671,22175,22191,13224,19263,20623,22383,22831,node0
928,7991,7991,8000,12784,18527,20719,21775,22287,12808,18735,20207,21983,22479,node0
929,8010,8010,8000,13304,18575,20175,21839,21871,13448,18975,20783,22591,22639,node0
930,8029,8029,8002,13312,19087,20015,21695,22351,12992,19311,20351,22623,23103,node0
931,7600,7600,7600,13752,19039,20495,21647,22191,13472,19215,19887,22591,23135,node0
932,7786,7786,7789,13232,19023,20063,22143,22639,13496,19247,20367,22175,23055,node0
933,7770,7770,7809,13696,19007,20079,22159,22191,13568,19103,19535,22639,22735,node0
934,7978,7978,7956,13264,18575,19599,21711,21743,13152,18959,20079,22319,22831,node0
935,7582,7582,7865,13760,19071,19615,22223,22255,14176,19103,19679,22271,22831,node0
936,7790,7790,7676,13800,19087,20159,21695,22239,14248,19103,19855,21887,22415,node0
937,7895,7895,7710,13768,19055,20111,22223,22271,13336,19247,19823,22463,22511,node0
938,7838,7838,7593,14240,19055,20143,21695,21727,13392,19343,20255,22511,22543,node0
939,7558,7558,7609,13264,19055,20079,21679,22207,13864,19455,20815,22575,22975,node0
940,7803,7803,7631,13752,19071,20639,22207,22223,13936,19295,20415,22671,23119,node0
941,7427,7427,7516,13720,18607,19647,21231,22255,13552,18911,20415,21743,23199,node0
942,7469,7469,7644,13168,19039,20047,21759,22239,13600,19343,19903,22271,22751,node0
943,7806,7806,7981,13704,19087,20143,21775,22303,13696,19631,20575,22319,22831,node0
944,7902,7902,7840,13736,19215,20655,22431,22463,13920,19199,20959,23055,23087,node0
945,7794,7794,7779,13912,19695,20271,22335,22943,13896,19263,20495,23007,23567,node0
946,7909,7909,7986,13880,19199,20271,21839,22367,13432,19295,19903,22127,22639,node0
947,8059,8059,8014,13816,19103,20223,21807,22287,13432,19423,20351,22527,22591,node0
948,7589,7589,7800,14344,18927,20191,22319,22367,13056,19023,19983,22687,22719,node0
949,8029,8029,7784,13304,19135,19967,21759,21807,13560,19407,20143,22719,22767,node0
950,7416,7416,7450,13784,19151,20175,22287,22319,13640,19471,21007,22223,23295,node0
951,7993,7993,7966,13784,19647,20671,21663,22223,13648,19455,20207,22271,22303,node0
952,8007,8007,8000,13784,19103,20703,22207,22703,13680,19615,20607,22815,23311,node0
953,7844,7844,7893,13832,19167,21247,22319,22335,13808,19295,20255,22431,22959,node0
954,8094,8094,8046,13888,19679,20527,21839,21855,13424,19807,20783,22479,22543,node0
955,7955,7955,8061,13872,18639,20239,22351,22367,13488,18943,20383,23023,23071,node0
956,7946,7946,7849,13368,19599,20255,21871,22367,14008,19087,20927,22255,22703,node0
957,7761,7761,7529,13800,19279,20847,21951,22463,14168,19551,20591,22767,22815,node0
958,7735,7735,7603,14288,19823,20703,22415,22431,14256,19695,21151,23375,23407,node0
959,7574,7574,7583,13864,19295,20335,21951,22447,13312,19679,20719,22415,22463,node0
960,7504,7504,7476,13368,19295,20367,22447,22495,13808,19663,21247,22927,22959,node0
961,7247,7247,7560,13824,19215,20335,21919,22463,13864,19343,21263,22559,23039,node0
962,7760,7760,7830,13320,19743,20847,22383,22399,12928,19247,21087,22991,23071,node0
963,7767,7767,7770,13768,18975,20207,21871,22303,13928,19375,20287,22095,22495,node0
964,7958,7958,8000,13296,19055,20095,21807,22303,12928,19359,20495,22591,22639,node0
965,8035,8035,8000,13800,19023,20079,22159,22207,13480,19455,20415,22607,22655,node0
966,7845,7845,7849,13728,19487,20063,21567,21599,13504,19343,20447,22063,22095,node0
967,7759,7759,7961,13048,18943,20527,21519,22031,13000,19055,20943,21615,22111,node0
968,8216,8216,7990,13576,18895,19951,21583,22063,14008,19279,20447,21743,22175,node0
969,7992,7992,7996,13616,19455,20527,22111,22127,13120,18959,20751,22271,22735,node0
970,7946,7946,7948,13064,19519,20047,21615,21647,13184,19103,19791,22335,22383,node0
971,7679,7679,7912,13568,19055,20143,21695,22207,13288,18991,19791,22479,23007,node0
972,8075,8075,8040,13584,18991,20127,21727,21775,13360,19215,20303,21999,22063,node0
973,7913,7913,7787,13608,18975,20127,22255,22271,13960,19375,20031,22543,22607,node0
974,7906,7906,7917,13632,19023,20143,21791,22303,13536,18975,20591,22639,22703,node0
975,8089,8089,8000,13624,18847,20031,21711,22191,13544,19327,20015,22223,22719,node0
