TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
3047,12272,12272,12657,10624,13831,22623,26559,26623,9912,13959,22079,26447,27055,node2
3048,12437,12437,12366,10096,13935,22031,26111,27407,10216,13799,22175,26495,27839,node2
3049,12538,12538,12300,10528,14031,22175,26687,27215,10440,14079,22415,27087,27647,node2
3050,11901,11901,12071,10464,13815,21983,26143,26303,10064,14167,22879,26207,26735,node2
3051,12229,12229,12021,10320,13783,21743,25599,26879,10160,13479,21951,25903,27327,node2
3052,12150,12150,12186,10416,13519,21727,26255,26895,10024,13687,21919,26559,27231,node2
3053,12143,12143,12588,10432,13607,21807,25423,25471,10344,13751,22143,25871,26447,node2
3054,12747,12747,12461,10408,13711,22303,25423,25983,10304,13615,21503,25535,26959,node2
3055,12143,12143,12370,10320,13407,21631,25231,25823,9864,13671,21759,26111,26719,node2
3056,12133,12133,12169,10256,13455,21487,25807,26175,9840,13487,21439,25391,25967,node2
3057,12516,12516,12228,9608,13519,21391,25247,26463,9920,13471,21647,25359,26591,node2
3058,12169,12169,11982,10144,13423,21359,25295,25951,10256,13775,22079,25807,26479,node2
3059,12311,12311,12483,10336,13495,21983,25855,26575,9664,13047,22175,25775,27087,node2
3060,12038,12038,12314,9944,13519,22063,25855,26479,10112,13399,22111,26463,26975,node2
3061,12544,12544,12276,10352,13655,22047,25791,26351,10072,13823,22287,25599,26271,node2
3062,11954,11954,12317,10352,13759,22095,25599,26383,10184,13791,22303,25631,26847,node2
3063,12176,12176,12200,10488,13727,22095,25759,26399,10456,13623,21711,26095,26751,node2
3064,12318,12318,12222,10592,13591,21567,25871,26399,10192,13935,22047,26031,26175,node2
3065,12060,12060,12378,10656,13887,22223,25343,26543,10416,14239,22367,26303,26671,node2
3066,12724,12724,12405,10760,14119,22127,26015,26591,10376,14183,22255,25951,26607,node2
3067,12459,12459,12204,10728,14031,21631,25823,26063,10712,13863,22463,26623,26911,node2
3068,12235,12235,12391,10744,14087,21871,25375,26639,10408,14415,22223,25967,27503,node2
3069,12448,12448,12450,10808,14007,21887,25999,26575,11240,14071,22127,26783,27439,node2
3070,12198,12198,12150,10816,14039,22511,25439,26047,10536,14031,22559,26079,26703,node2
3071,12103,12103,12210,10376,14127,21935,26111,26687,10928,13983,22607,26047,27359,node2
3072,12048,12048,12390,10960,14031,22607,26271,26335,10416,14159,22895,26991,27279,node2
3073,12626,12626,12200,10936,14207,22751,26879,26975,10536,14367,22367,26543,27919,node2
3074,12448,12448,12607,11024,14367,22751,26367,27039,11024,14119,22751,27215,27903,node2
3075,12408,12408,12398,11048,14375,22399,26063,27007,11136,14103,23167,26975,27247,node2
