time: 106s; Messages sent: 7280; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 107s; Messages sent: 6923; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 108s; Messages sent: 7897; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 109s; Messages sent: 5626; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 110s; Messages sent: 5990; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 111s; Messages sent: 7211; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 112s; Messages sent: 5530; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 113s; Messages sent: 7771; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 114s; Messages sent: 6464; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 115s; Messages sent: 7476; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 116s; Messages sent: 6889; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 117s; Messages sent: 7440; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 118s; Messages sent: 7265; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 119s; Messages sent: 6881; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 120s; Messages sent: 7258; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 121s; Messages sent: 5769; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 122s; Messages sent: 7187; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 123s; Messages sent: 5681; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 124s; Messages sent: 8653; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 125s; Messages sent: 6876; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 126s; Messages sent: 8658; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 127s; Messages sent: 8126; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 128s; Messages sent: 6765; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 129s; Messages sent: 9041; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 130s; Messages sent: 7400; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 131s; Messages sent: 9200; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 132s; Messages sent: 6603; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 133s; Messages sent: 7197; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 134s; Messages sent: 8220; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 135s; Messages sent: 8606; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 136s; Messages sent: 6704; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 137s; Messages sent: 7876; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 138s; Messages sent: 4394; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 139s; Messages sent: 2861; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 140s; Messages sent: 3997; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 141s; Messages sent: 3815; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 142s; Messages sent: 2869; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 143s; Messages sent: 2759; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 144s; Messages sent: 3478; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 145s; Messages sent: 3908; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 146s; Messages sent: 3176; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 147s; Messages sent: 2946; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 148s; Messages sent: 3843; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 149s; Messages sent: 2802; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 150s; Messages sent: 3338; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 151s; Messages sent: 2188; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 152s; Messages sent: 3277; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 153s; Messages sent: 1588; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 154s; Messages sent: 2155; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 155s; Messages sent: 70; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 156s; Messages sent: 2748; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 157s; Messages sent: 2721; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 158s; Messages sent: 1261; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 159s; Messages sent: 2000; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 160s; Messages sent: 1958; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 161s; Messages sent: 1406; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 162s; Messages sent: 2615; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 163s; Messages sent: 0; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 164s; Messages sent: 2923; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 165s; Messages sent: 1615; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 166s; Messages sent: 3463; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 167s; Messages sent: 5023; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 168s; Messages sent: 5582; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 169s; Messages sent: 3717; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 170s; Messages sent: 8638; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 171s; Messages sent: 5503; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 172s; Messages sent: 6181; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 173s; Messages sent: 4625; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 174s; Messages sent: 5612; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 175s; Messages sent: 5063; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 176s; Messages sent: 8167; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 177s; Messages sent: 6860; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 178s; Messages sent: 6694; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 179s; Messages sent: 4478; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 180s; Messages sent: 5275; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 181s; Messages sent: 5668; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 182s; Messages sent: 7685; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 183s; Messages sent: 5416; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 184s; Messages sent: 7935; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 185s; Messages sent: 2301; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 186s; Messages sent: 5458; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 187s; Messages sent: 6315; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 188s; Messages sent: 5676; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 189s; Messages sent: 8792; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 190s; Messages sent: 5017; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 191s; Messages sent: 5288; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 192s; Messages sent: 6360; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 193s; Messages sent: 5152; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 194s; Messages sent: 6825; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 195s; Messages sent: 8598; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 196s; Messages sent: 2554; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 197s; Messages sent: 7305; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 198s; Messages sent: 4721; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 199s; Messages sent: 7361; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 200s; Messages sent: 9020; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 201s; Messages sent: 4096; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 202s; Messages sent: 5972; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 203s; Messages sent: 5359; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 204s; Messages sent: 10230; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 205s; Messages sent: 6433; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 206s; Messages sent: 4865; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 207s; Messages sent: 7197; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 208s; Messages sent: 8003; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 209s; Messages sent: 5498; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 210s; Messages sent: 6433; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 211s; Messages sent: 5069; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 212s; Messages sent: 6400; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 213s; Messages sent: 7200; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 214s; Messages sent: 5000; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 215s; Messages sent: 7797; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 216s; Messages sent: 5109; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 217s; Messages sent: 6403; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 218s; Messages sent: 7093; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 219s; Messages sent: 8512; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 220s; Messages sent: 4286; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 221s; Messages sent: 6475; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 222s; Messages sent: 3784; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 223s; Messages sent: 9515; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 224s; Messages sent: 6083; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 225s; Messages sent: 5363; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 226s; Messages sent: 7493; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 227s; Messages sent: 5838; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 228s; Messages sent: 7058; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 229s; Messages sent: 5579; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 230s; Messages sent: 5022; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 231s; Messages sent: 6054; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 232s; Messages sent: 5136; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 233s; Messages sent: 7447; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 234s; Messages sent: 6469; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 235s; Messages sent: 6864; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 236s; Messages sent: 6280; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
