TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
2068,10005,10005,9808,12072,15439,17167,17935,17999,12416,15431,17327,17423,17423,node1
2069,9271,9271,9842,11696,15471,17519,18399,18831,11888,15775,17231,18575,19007,node1
2070,7895,7895,8083,11752,15887,17263,18143,18639,11800,15943,17631,18879,19503,node1
2071,9705,9705,9776,11960,16151,17343,18223,18623,12096,16479,17087,18607,18799,node1
2072,10956,10956,10053,12304,16511,17087,17423,18575,12448,16375,17455,18431,18431,node1
2073,9806,9806,10257,11936,16111,17119,18207,18607,12472,16543,17311,19007,19423,node1
2074,9880,9880,10008,12048,16207,17503,18687,19023,12608,16303,17487,18655,19071,node1
2075,10301,10301,10346,12344,16095,17039,17343,17359,12392,16335,17359,18271,18271,node1
2076,10586,10586,10207,12336,16055,17199,18207,18575,12416,16607,17423,18703,19119,node1
2077,10270,10270,10721,11984,16463,17103,18143,18959,12440,16335,17375,18975,19535,node1
2078,9816,9816,9987,12328,13639,17407,18559,18575,13240,16239,17199,19391,19407,node1
2079,10796,10796,9979,11920,16087,16895,18127,18959,12528,16367,17039,18623,19807,node1
2080,10126,10126,10565,11840,16463,17311,18095,18111,12168,16591,17311,18815,19007,node1
2081,10626,10626,9919,11848,16095,17279,18495,18511,13192,16335,17407,19247,19263,node1
2082,9644,9644,10619,11608,16095,17311,18159,18623,11848,16479,17423,18495,19007,node1
2083,9992,9992,9980,11992,16135,17375,18207,18271,12184,16719,17279,18431,18863,node1
2084,10765,10765,10138,12104,16527,17807,18655,18671,13200,15423,17439,19279,19295,node1
2085,10186,10186,10343,11696,16047,16959,18239,18671,12016,16255,17455,18527,18959,node1
2086,9941,9941,10769,12008,15911,16559,18175,18559,12008,16199,16927,18751,19151,node1
2087,11035,11035,9910,12424,16183,16655,17135,18575,12416,16223,16415,17327,17343,node1
2088,9870,9870,10714,12040,15767,16607,18031,18847,12072,16055,17055,18959,19759,node1
2089,10926,10926,10297,12080,16199,16735,17839,18255,12464,16175,16767,18623,19055,node1
2090,9348,9348,10388,12488,15839,16231,17519,17903,12464,16023,16767,17919,18047,node1
2091,11064,11064,10154,12104,16191,16319,18287,18303,12208,16159,16375,18303,18319,node1
2092,10370,10370,10138,12152,15823,16319,18271,18719,12576,15879,16895,18591,19023,node1
2093,9882,9882,10318,12168,15519,16735,17631,17983,12400,15943,16879,18447,18863,node1
2094,10429,10429,10216,12592,15447,17199,18399,18415,12224,15375,16343,19279,19295,node1
2095,10421,10421,10736,12072,15503,16783,17999,18783,12080,15855,16799,18111,18895,node1
